anio,linea,TipoPasaje,TOTAL
07/2018,LINEA 124,ESCOLAR INICIAL Y PRIMARIO CABA,2335
07/2018,LINEA 124,ESCOLAR SECUNDARIO BSAS,61
07/2018,LINEA 124,NORMAL,630213
07/2018,LINEA 124,ATRIBUTO SOCIAL,198328
07/2018,LINEA 124,ESCOLAR PRIMARIO BSAS,79
07/2018,LINEA 124,ESCOLAR SECUNDARIO CABA,9205
07/2018,LINEA 126,ESCOLAR INICIAL Y PRIMARIO CABA,1269
07/2018,LINEA 126,ESCOLAR SECUNDARIO BSAS,736
07/2018,LINEA 126,NORMAL,839336
07/2018,LINEA 126,ATRIBUTO SOCIAL,288417
07/2018,LINEA 126,ESCOLAR PRIMARIO BSAS,482
07/2018,LINEA 126,ESCOLAR SECUNDARIO CABA,10577
07/2018,LINEA 126,ESCOLAR,2286
07/2018,LINEA 127,ESCOLAR PRIMARIO BSAS,1166
07/2018,LINEA 127,ESCOLAR SECUNDARIO CABA,2845
07/2018,LINEA 127,ESCOLAR,1171
07/2018,LINEA 127,ESCOLAR INICIAL Y PRIMARIO CABA,384
07/2018,LINEA 127,ESCOLAR SECUNDARIO BSAS,3954
07/2018,LINEA 127,NORMAL,421780
07/2018,LINEA 127,ATRIBUTO SOCIAL,183777
07/2018,LINEA 128,ATRIBUTO SOCIAL,172308
07/2018,LINEA 128,ESCOLAR PRIMARIO BSAS,435
07/2018,LINEA 128,ESCOLAR SECUNDARIO CABA,3248
07/2018,LINEA 128,ESCOLAR,1102
07/2018,LINEA 128,ESCOLAR INICIAL Y PRIMARIO CABA,932
07/2018,LINEA 128,ESCOLAR SECUNDARIO BSAS,673
07/2018,LINEA 128,NORMAL,481059
07/2018,LINEA 129,ESCOLAR SECUNDARIO CABA,217
07/2018,LINEA 129,ESCOLAR,17949
07/2018,LINEA 129,ESCOLAR INICIAL Y PRIMARIO CABA,141
07/2018,LINEA 129,ESCOLAR SECUNDARIO BSAS,3586
07/2018,LINEA 129,NORMAL,802975
07/2018,LINEA 129,ATRIBUTO SOCIAL,357541
07/2018,LINEA 129,ESCOLAR PRIMARIO BSAS,1396
07/2018,LINEA 130,ESCOLAR INICIAL Y PRIMARIO CABA,791
07/2018,LINEA 130,ESCOLAR SECUNDARIO BSAS,3735
07/2018,LINEA 130,NORMAL,1028366
07/2018,LINEA 130,ATRIBUTO SOCIAL,282634
07/2018,LINEA 130,ESCOLAR PRIMARIO BSAS,1076
07/2018,LINEA 130,ESCOLAR SECUNDARIO CABA,4562
07/2018,LINEA 130,ESCOLAR,3157
07/2018,LINEA 132,ESCOLAR SECUNDARIO CABA,28503
07/2018,LINEA 132,ESCOLAR,2492
07/2018,LINEA 132,ESCOLAR INICIAL Y PRIMARIO CABA,3158
07/2018,LINEA 132,ESCOLAR SECUNDARIO BSAS,481
07/2018,LINEA 132,NORMAL,1327586
07/2018,LINEA 132,ATRIBUTO SOCIAL,465830
07/2018,LINEA 132,ESCOLAR PRIMARIO BSAS,191
07/2018,LINEA 133,ESCOLAR INICIAL Y PRIMARIO CABA,457
07/2018,LINEA 133,ESCOLAR SECUNDARIO BSAS,184
07/2018,LINEA 133,NORMAL,436147
07/2018,LINEA 133,ATRIBUTO SOCIAL,139957
07/2018,LINEA 133,ESCOLAR PRIMARIO BSAS,51
07/2018,LINEA 133,ESCOLAR SECUNDARIO CABA,4768
07/2018,LINEA 133,ESCOLAR,853
07/2018,LINEA 134,ESCOLAR,2399
07/2018,LINEA 134,ESCOLAR INICIAL Y PRIMARIO CABA,1023
07/2018,LINEA 134,ESCOLAR SECUNDARIO BSAS,1316
07/2018,LINEA 134,NORMAL,556142
07/2018,LINEA 134,ATRIBUTO SOCIAL,202868
07/2018,LINEA 134,ESCOLAR PRIMARIO BSAS,538
07/2018,LINEA 134,ESCOLAR SECUNDARIO CABA,5456
07/2018,LINEA 135,ESCOLAR SECUNDARIO BSAS,200
07/2018,LINEA 135,NORMAL,533489
07/2018,LINEA 135,ATRIBUTO SOCIAL,200064
07/2018,LINEA 135,ESCOLAR PRIMARIO BSAS,121
07/2018,LINEA 135,ESCOLAR SECUNDARIO CABA,15721
07/2018,LINEA 135,ESCOLAR,904
07/2018,LINEA 135,ESCOLAR INICIAL Y PRIMARIO CABA,1664
07/2018,LINEA 136 BS AS,ESCOLAR,3661
07/2018,LINEA 136 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,40
07/2018,LINEA 136 BS AS,ESCOLAR SECUNDARIO BSAS,5235
07/2018,LINEA 136 BS AS,NORMAL,386280
07/2018,LINEA 136 BS AS,ATRIBUTO SOCIAL,178762
07/2018,LINEA 136 BS AS,ESCOLAR PRIMARIO BSAS,1887
07/2018,LINEA 136 BS AS,ESCOLAR SECUNDARIO CABA,161
07/2018,LINEA 140,ESCOLAR INICIAL Y PRIMARIO CABA,414
07/2018,LINEA 140,ESCOLAR SECUNDARIO BSAS,455
07/2018,LINEA 140,NORMAL,401392
07/2018,LINEA 140,ATRIBUTO SOCIAL,119239
07/2018,LINEA 140,ESCOLAR PRIMARIO BSAS,175
07/2018,LINEA 140,ESCOLAR SECUNDARIO CABA,2252
07/2018,LINEA 140,ESCOLAR,893
07/2018,LINEA 141,ESCOLAR,1047
07/2018,LINEA 141,ESCOLAR INICIAL Y PRIMARIO CABA,891
07/2018,LINEA 141,ESCOLAR SECUNDARIO BSAS,163
07/2018,LINEA 141,NORMAL,556248
07/2018,LINEA 141,ATRIBUTO SOCIAL,183558
07/2018,LINEA 141,ESCOLAR PRIMARIO BSAS,85
07/2018,LINEA 141,ESCOLAR SECUNDARIO CABA,8252
07/2018,LINEA 143,ESCOLAR INICIAL Y PRIMARIO CABA,506
07/2018,LINEA 143,ESCOLAR SECUNDARIO BSAS,288
07/2018,LINEA 143,NORMAL,317053
07/2018,LINEA 143,ATRIBUTO SOCIAL,98936
07/2018,LINEA 143,ESCOLAR PRIMARIO BSAS,189
07/2018,LINEA 143,ESCOLAR SECUNDARIO CABA,4064
07/2018,LINEA 143,ESCOLAR,955
07/2018,LINEA 146,ATRIBUTO SOCIAL,187880
07/2018,LINEA 146,ESCOLAR PRIMARIO BSAS,239
07/2018,LINEA 146,ESCOLAR SECUNDARIO CABA,10830
07/2018,LINEA 146,ESCOLAR,1750
07/2018,LINEA 146,ESCOLAR INICIAL Y PRIMARIO CABA,1980
07/2018,LINEA 146,ESCOLAR SECUNDARIO BSAS,399
07/2018,LINEA 146,NORMAL,593127
07/2018,LINEA 148,ATRIBUTO SOCIAL,678878
07/2018,LINEA 148,ESCOLAR PRIMARIO BSAS,7446
07/2018,LINEA 148,ESCOLAR SECUNDARIO CABA,639
07/2018,LINEA 148,ESCOLAR,21298
07/2018,LINEA 148,ESCOLAR INICIAL Y PRIMARIO CABA,277
07/2018,LINEA 148,ESCOLAR SECUNDARIO BSAS,17000
07/2018,LINEA 148,NORMAL,1444027
07/2018,LINEA 15,ESCOLAR PRIMARIO BSAS,397
07/2018,LINEA 15,ESCOLAR SECUNDARIO CABA,7628
07/2018,LINEA 15,ESCOLAR,2788
07/2018,LINEA 15,ESCOLAR INICIAL Y PRIMARIO CABA,895
07/2018,LINEA 15,ESCOLAR SECUNDARIO BSAS,1617
07/2018,LINEA 15,NORMAL,1294782
07/2018,LINEA 15,ATRIBUTO SOCIAL,443156
07/2018,LINEA 150,ATRIBUTO SOCIAL,149219
07/2018,LINEA 150,ESCOLAR PRIMARIO BSAS,48
07/2018,LINEA 150,ESCOLAR SECUNDARIO CABA,9896
07/2018,LINEA 150,ESCOLAR,655
07/2018,LINEA 150,ESCOLAR INICIAL Y PRIMARIO CABA,1607
07/2018,LINEA 150,ESCOLAR SECUNDARIO BSAS,111
07/2018,LINEA 150,NORMAL,480330
07/2018,LINEA 151,NORMAL,634716
07/2018,LINEA 151,ATRIBUTO SOCIAL,216431
07/2018,LINEA 151,ESCOLAR PRIMARIO BSAS,349
07/2018,LINEA 151,ESCOLAR SECUNDARIO CABA,6531
07/2018,LINEA 151,ESCOLAR,1340
07/2018,LINEA 151,ESCOLAR INICIAL Y PRIMARIO CABA,1990
07/2018,LINEA 151,ESCOLAR SECUNDARIO BSAS,612
07/2018,LINEA 152,ESCOLAR SECUNDARIO BSAS,4613
07/2018,LINEA 152,NORMAL,2029446
07/2018,LINEA 152,ATRIBUTO SOCIAL,515558
07/2018,LINEA 152,ESCOLAR PRIMARIO BSAS,885
07/2018,LINEA 152,ESCOLAR SECUNDARIO CABA,7902
07/2018,LINEA 152,ESCOLAR,4661
07/2018,LINEA 152,ESCOLAR INICIAL Y PRIMARIO CABA,960
07/2018,LINEA 153 BS AS,NORMAL,217322
07/2018,LINEA 153 BS AS,ATRIBUTO SOCIAL,103039
07/2018,LINEA 153 BS AS,ESCOLAR PRIMARIO BSAS,1578
07/2018,LINEA 153 BS AS,ESCOLAR SECUNDARIO CABA,78
07/2018,LINEA 153 BS AS,ESCOLAR,2217
07/2018,LINEA 153 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,15
07/2018,LINEA 153 BS AS,ESCOLAR SECUNDARIO BSAS,4614
07/2018,LINEA 154,ESCOLAR SECUNDARIO BSAS,1145
07/2018,LINEA 154,NORMAL,98294
07/2018,LINEA 154,ATRIBUTO SOCIAL,39187
07/2018,LINEA 154,ESCOLAR PRIMARIO BSAS,640
07/2018,LINEA 154,ESCOLAR SECUNDARIO CABA,563
07/2018,LINEA 154,ESCOLAR,892
07/2018,LINEA 154,ESCOLAR INICIAL Y PRIMARIO CABA,139
07/2018,LINEA 158,ATRIBUTO SOCIAL,137095
07/2018,LINEA 158,ESCOLAR PRIMARIO BSAS,1376
07/2018,LINEA 158,ESCOLAR SECUNDARIO CABA,490
07/2018,LINEA 158,ESCOLAR,2050
07/2018,LINEA 158,ESCOLAR INICIAL Y PRIMARIO CABA,136
07/2018,LINEA 158,ESCOLAR SECUNDARIO BSAS,3345
07/2018,LINEA 158,NORMAL,286097
07/2018,LINEA 159,ESCOLAR INICIAL Y PRIMARIO CABA,539
07/2018,LINEA 159,ESCOLAR SECUNDARIO BSAS,13312
07/2018,LINEA 159,NORMAL,1488063
07/2018,LINEA 159,ATRIBUTO SOCIAL,596373
07/2018,LINEA 159,ESCOLAR PRIMARIO BSAS,5221
07/2018,LINEA 159,ESCOLAR SECUNDARIO CABA,1930
07/2018,LINEA 159,ESCOLAR,22949
07/2018,LINEA 160,ESCOLAR INICIAL Y PRIMARIO CABA,761
07/2018,LINEA 160,ESCOLAR SECUNDARIO BSAS,11928
07/2018,LINEA 160,NORMAL,1013435
07/2018,LINEA 160,ATRIBUTO SOCIAL,376729
07/2018,LINEA 160,ESCOLAR PRIMARIO BSAS,4256
07/2018,LINEA 160,ESCOLAR SECUNDARIO CABA,3669
07/2018,LINEA 160,ESCOLAR,11022
07/2018,LINEA 161,ATRIBUTO SOCIAL,466081
07/2018,LINEA 161,ESCOLAR PRIMARIO BSAS,2803
07/2018,LINEA 161,ESCOLAR SECUNDARIO CABA,4141
07/2018,LINEA 161,ESCOLAR,4830
07/2018,LINEA 161,ESCOLAR INICIAL Y PRIMARIO CABA,888
07/2018,LINEA 161,ESCOLAR SECUNDARIO BSAS,7815
07/2018,LINEA 161,NORMAL,1082287
07/2018,LINEA 163 BS AS,ESCOLAR,1915
07/2018,LINEA 163 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,46
07/2018,LINEA 163 BS AS,ESCOLAR SECUNDARIO BSAS,3310
07/2018,LINEA 163 BS AS,NORMAL,238596
07/2018,LINEA 163 BS AS,ATRIBUTO SOCIAL,103117
07/2018,LINEA 163 BS AS,ESCOLAR PRIMARIO BSAS,1179
07/2018,LINEA 163 BS AS,ESCOLAR SECUNDARIO CABA,131
07/2018,LINEA 165,ATRIBUTO SOCIAL,261264
07/2018,LINEA 165,ESCOLAR PRIMARIO BSAS,2762
07/2018,LINEA 165,ESCOLAR SECUNDARIO CABA,400
07/2018,LINEA 165,ESCOLAR,7785
07/2018,LINEA 165,ESCOLAR INICIAL Y PRIMARIO CABA,147
07/2018,LINEA 165,ESCOLAR SECUNDARIO BSAS,6765
07/2018,LINEA 165,NORMAL,608809
07/2018,LINEA 166,ESCOLAR SECUNDARIO BSAS,4419
07/2018,LINEA 166,NORMAL,928231
07/2018,LINEA 166,ATRIBUTO SOCIAL,285451
07/2018,LINEA 166,ESCOLAR PRIMARIO BSAS,1618
07/2018,LINEA 166,ESCOLAR SECUNDARIO CABA,3536
07/2018,LINEA 166,ESCOLAR,7351
07/2018,LINEA 166,ESCOLAR INICIAL Y PRIMARIO CABA,452
07/2018,LINEA 168,ATRIBUTO SOCIAL,300112
07/2018,LINEA 168,ESCOLAR PRIMARIO BSAS,400
07/2018,LINEA 168,ESCOLAR SECUNDARIO CABA,5715
07/2018,LINEA 168,ESCOLAR,2654
07/2018,LINEA 168,ESCOLAR INICIAL Y PRIMARIO CABA,1695
07/2018,LINEA 168,ESCOLAR SECUNDARIO BSAS,877
07/2018,LINEA 168,NORMAL,941261
07/2018,LINEA 169,ESCOLAR SECUNDARIO BSAS,4599
07/2018,LINEA 169,NORMAL,344366
07/2018,LINEA 169,ATRIBUTO SOCIAL,148558
07/2018,LINEA 169,ESCOLAR PRIMARIO BSAS,1831
07/2018,LINEA 169,ESCOLAR SECUNDARIO CABA,1915
07/2018,LINEA 169,ESCOLAR,2065
07/2018,LINEA 169,ESCOLAR INICIAL Y PRIMARIO CABA,297
07/2018,LINEA 17,NORMAL,890027
07/2018,LINEA 17,ATRIBUTO SOCIAL,271155
07/2018,LINEA 17,ESCOLAR PRIMARIO BSAS,2532
07/2018,LINEA 17,ESCOLAR SECUNDARIO CABA,1925
07/2018,LINEA 17,ESCOLAR,6659
07/2018,LINEA 17,ESCOLAR INICIAL Y PRIMARIO CABA,507
07/2018,LINEA 17,ESCOLAR SECUNDARIO BSAS,6887
07/2018,LINEA 172,ESCOLAR SECUNDARIO CABA,1772
07/2018,LINEA 172,ESCOLAR,3255
07/2018,LINEA 172,ESCOLAR INICIAL Y PRIMARIO CABA,504
07/2018,LINEA 172,ESCOLAR SECUNDARIO BSAS,2577
07/2018,LINEA 172,NORMAL,365884
07/2018,LINEA 172,ATRIBUTO SOCIAL,144212
07/2018,LINEA 172,ESCOLAR PRIMARIO BSAS,1153
07/2018,LINEA 174 BS AS,ESCOLAR,6863
07/2018,LINEA 174 BS AS,ESCOLAR INICIAL Y PRIMARIO CABA,200
07/2018,LINEA 174 BS AS,ESCOLAR SECUNDARIO BSAS,7864
07/2018,LINEA 174 BS AS,NORMAL,464054
07/2018,LINEA 174 BS AS,ATRIBUTO SOCIAL,262245
07/2018,LINEA 174 BS AS,ESCOLAR PRIMARIO BSAS,4026
07/2018,LINEA 174 BS AS,ESCOLAR SECUNDARIO CABA,575
07/2018,LINEA 175,ESCOLAR SECUNDARIO BSAS,4261
07/2018,LINEA 175,NORMAL,260420
07/2018,LINEA 175,ATRIBUTO SOCIAL,121551
07/2018,LINEA 175,ESCOLAR PRIMARIO BSAS,1782
07/2018,LINEA 175,ESCOLAR SECUNDARIO CABA,1832
07/2018,LINEA 175,ESCOLAR,1566
07/2018,LINEA 175,ESCOLAR INICIAL Y PRIMARIO CABA,344
07/2018,LINEA 176,NORMAL,1312864
07/2018,LINEA 176,ATRIBUTO SOCIAL,684521
07/2018,LINEA 176,ESCOLAR PRIMARIO BSAS,7677
07/2018,LINEA 176,ESCOLAR SECUNDARIO CABA,1290
07/2018,LINEA 176,ESCOLAR,9381
07/2018,LINEA 176,ESCOLAR INICIAL Y PRIMARIO CABA,278
07/2018,LINEA 176,ESCOLAR SECUNDARIO BSAS,18753
07/2018,LINEA 177,ESCOLAR PRIMARIO BSAS,3905
07/2018,LINEA 177,ESCOLAR SECUNDARIO CABA,156
07/2018,LINEA 177,ESCOLAR,6296
07/2018,LINEA 177,ESCOLAR INICIAL Y PRIMARIO CABA,75
07/2018,LINEA 177,ESCOLAR SECUNDARIO BSAS,6372
07/2018,LINEA 177,NORMAL,460322
07/2018,LINEA 177,ATRIBUTO SOCIAL,225060
07/2018,LINEA 178,ESCOLAR INICIAL Y PRIMARIO CABA,327
07/2018,LINEA 178,ESCOLAR SECUNDARIO BSAS,13506
07/2018,LINEA 178,NORMAL,960992
07/2018,LINEA 178,ATRIBUTO SOCIAL,455698
07/2018,LINEA 178,ESCOLAR PRIMARIO BSAS,10059
07/2018,LINEA 178,ESCOLAR SECUNDARIO CABA,490
07/2018,LINEA 178,ESCOLAR,14684
07/2018,LINEA 179,ESCOLAR SECUNDARIO CABA,226
07/2018,LINEA 179,ESCOLAR,1866
07/2018,LINEA 179,ESCOLAR INICIAL Y PRIMARIO CABA,161
07/2018,LINEA 179,ESCOLAR SECUNDARIO BSAS,4442
07/2018,LINEA 179,NORMAL,273009
07/2018,LINEA 179,ATRIBUTO SOCIAL,126949
07/2018,LINEA 179,ESCOLAR PRIMARIO BSAS,1981
07/2018,LINEA 180,ESCOLAR SECUNDARIO BSAS,4518
07/2018,LINEA 180,NORMAL,1158620
07/2018,LINEA 180,ATRIBUTO SOCIAL,612920
07/2018,LINEA 180,ESCOLAR PRIMARIO BSAS,2924
07/2018,LINEA 180,ESCOLAR SECUNDARIO CABA,7157
07/2018,LINEA 180,ESCOLAR,4887
07/2018,LINEA 180,ESCOLAR INICIAL Y PRIMARIO CABA,731
07/2018,LINEA 181,ESCOLAR PRIMARIO BSAS,1440
07/2018,LINEA 181,ESCOLAR SECUNDARIO CABA,10983
07/2018,LINEA 181,ESCOLAR,3550
07/2018,LINEA 181,ESCOLAR INICIAL Y PRIMARIO CABA,1602
07/2018,LINEA 181,ESCOLAR SECUNDARIO BSAS,2904
07/2018,LINEA 181,NORMAL,491441
07/2018,LINEA 181,ATRIBUTO SOCIAL,208414
07/2018,LINEA 182,ESCOLAR INICIAL Y PRIMARIO CABA,133
07/2018,LINEA 182,ESCOLAR SECUNDARIO BSAS,14297
07/2018,LINEA 182,NORMAL,756073
07/2018,LINEA 182,ATRIBUTO SOCIAL,377557
07/2018,LINEA 182,ESCOLAR PRIMARIO BSAS,3958
07/2018,LINEA 182,ESCOLAR SECUNDARIO CABA,1284
07/2018,LINEA 182,ESCOLAR,7393
07/2018,LINEA 184,ESCOLAR SECUNDARIO BSAS,3417
07/2018,LINEA 184,NORMAL,349864
07/2018,LINEA 184,ATRIBUTO SOCIAL,152824
07/2018,LINEA 184,ESCOLAR PRIMARIO BSAS,562
07/2018,LINEA 184,ESCOLAR SECUNDARIO CABA,2329
07/2018,LINEA 184,ESCOLAR,1115
07/2018,LINEA 184,ESCOLAR INICIAL Y PRIMARIO CABA,162
07/2018,LINEA 185,NORMAL,232073
07/2018,LINEA 185,ATRIBUTO SOCIAL,126142
07/2018,LINEA 185,ESCOLAR PRIMARIO BSAS,853
07/2018,LINEA 185,ESCOLAR SECUNDARIO CABA,1862
07/2018,LINEA 185,ESCOLAR,2393
07/2018,LINEA 185,ESCOLAR INICIAL Y PRIMARIO CABA,76
07/2018,LINEA 185,ESCOLAR SECUNDARIO BSAS,2190
07/2018,LINEA 188,ATRIBUTO SOCIAL,290869
07/2018,LINEA 188,ESCOLAR PRIMARIO BSAS,2134
07/2018,LINEA 188,ESCOLAR SECUNDARIO CABA,5210
07/2018,LINEA 188,ESCOLAR,3586
07/2018,LINEA 188,ESCOLAR INICIAL Y PRIMARIO CABA,2037
07/2018,LINEA 188,ESCOLAR SECUNDARIO BSAS,3988
07/2018,LINEA 188,NORMAL,593568
07/2018,LINEA 19,NORMAL,477706
07/2018,LINEA 19,ATRIBUTO SOCIAL,203484
07/2018,LINEA 19,ESCOLAR PRIMARIO BSAS,1124
07/2018,LINEA 19,ESCOLAR SECUNDARIO CABA,2617
07/2018,LINEA 19,ESCOLAR,1159
07/2018,LINEA 19,ESCOLAR INICIAL Y PRIMARIO CABA,976
07/2018,LINEA 19,ESCOLAR SECUNDARIO BSAS,3291
07/2018,LINEA 193,NORMAL,121118
07/2018,LINEA 193,ATRIBUTO SOCIAL,54482
07/2018,LINEA 193,ESCOLAR PRIMARIO BSAS,291
07/2018,LINEA 193,ESCOLAR SECUNDARIO CABA,498
07/2018,LINEA 193,ESCOLAR,439
07/2018,LINEA 193,ESCOLAR INICIAL Y PRIMARIO CABA,152
07/2018,LINEA 193,ESCOLAR SECUNDARIO BSAS,706
07/2018,LINEA 194,ESCOLAR,1852
07/2018,LINEA 194,ESCOLAR INICIAL Y PRIMARIO CABA,81
07/2018,LINEA 194,ESCOLAR SECUNDARIO BSAS,521
07/2018,LINEA 194,NORMAL,455908
07/2018,LINEA 194,ATRIBUTO SOCIAL,203412
07/2018,LINEA 194,ESCOLAR PRIMARIO BSAS,205
07/2018,LINEA 194,ESCOLAR SECUNDARIO CABA,133
07/2018,LINEA 195,ESCOLAR,5166
07/2018,LINEA 195,ESCOLAR INICIAL Y PRIMARIO CABA,15
07/2018,LINEA 195,ESCOLAR SECUNDARIO BSAS,133
07/2018,LINEA 195,NORMAL,203549
07/2018,LINEA 195,ATRIBUTO SOCIAL,89945
07/2018,LINEA 195,ESCOLAR PRIMARIO BSAS,57
07/2018,LINEA 195,ESCOLAR SECUNDARIO CABA,35
07/2018,LINEA 2,ESCOLAR INICIAL Y PRIMARIO CABA,1127
07/2018,LINEA 2,ESCOLAR SECUNDARIO BSAS,100
07/2018,LINEA 2,NORMAL,640836
07/2018,LINEA 2,ATRIBUTO SOCIAL,208228
07/2018,LINEA 2,ESCOLAR PRIMARIO BSAS,69
07/2018,LINEA 2,ESCOLAR SECUNDARIO CABA,7885
07/2018,LINEA 2,ESCOLAR,1680
07/2018,LINEA 20,ESCOLAR PRIMARIO BSAS,1006
07/2018,LINEA 20,ESCOLAR SECUNDARIO CABA,1146
07/2018,LINEA 20,ESCOLAR,2893
07/2018,LINEA 20,ESCOLAR INICIAL Y PRIMARIO CABA,131
07/2018,LINEA 20,ESCOLAR SECUNDARIO BSAS,2371
07/2018,LINEA 20,NORMAL,286193
07/2018,LINEA 20,ATRIBUTO SOCIAL,105468
07/2018,LINEA 200,ESCOLAR INICIAL Y PRIMARIO CABA,16
07/2018,LINEA 200,ESCOLAR SECUNDARIO BSAS,2077
07/2018,LINEA 200,NORMAL,66960
07/2018,LINEA 200,ATRIBUTO SOCIAL,32625
07/2018,LINEA 200,ESCOLAR PRIMARIO BSAS,1732
07/2018,LINEA 200,ESCOLAR SECUNDARIO CABA,31
07/2018,LINEA 200,ESCOLAR,327
07/2018,LINEA 202,ESCOLAR SECUNDARIO BSAS,24417
07/2018,LINEA 202,NORMAL,618909
07/2018,LINEA 202,ESCOLAR PRIMARIO BSAS,16622
07/2018,LINEA 202,ESCOLAR SECUNDARIO CABA,11
07/2018,LINEA 202,ESCOLAR,28220
07/2018,LINEA 202,ATRIBUTO SOCIAL,317859
07/2018,LINEA 203,ESCOLAR PRIMARIO BSAS,7299
07/2018,LINEA 203,ESCOLAR SECUNDARIO CABA,534
07/2018,LINEA 203,ESCOLAR,16769
07/2018,LINEA 203,ESCOLAR INICIAL Y PRIMARIO CABA,159
07/2018,LINEA 203,ESCOLAR SECUNDARIO BSAS,18778
07/2018,LINEA 203,NORMAL,2581379
07/2018,LINEA 203,ATRIBUTO SOCIAL,1286980
07/2018,LINEA 204,ESCOLAR INICIAL Y PRIMARIO CABA,5
07/2018,LINEA 204,ESCOLAR SECUNDARIO BSAS,2356
07/2018,LINEA 204,NORMAL,187354
07/2018,LINEA 204,ATRIBUTO SOCIAL,86984
07/2018,LINEA 204,ESCOLAR PRIMARIO BSAS,728
07/2018,LINEA 204,ESCOLAR SECUNDARIO CABA,14
07/2018,LINEA 204,ESCOLAR,412
07/2018,LINEA 204B,ATRIBUTO SOCIAL,56107
07/2018,LINEA 204B,ESCOLAR SECUNDARIO BSAS,731
07/2018,LINEA 204B,NORMAL,135901
07/2018,LINEA 204B,ESCOLAR PRIMARIO BSAS,349
07/2018,LINEA 204B,ESCOLAR SECUNDARIO CABA,7
07/2018,LINEA 204B,ESCOLAR,784
07/2018,LINEA 205,ATRIBUTO SOCIAL,111271
07/2018,LINEA 205,ESCOLAR PRIMARIO BSAS,1157
07/2018,LINEA 205,ESCOLAR SECUNDARIO CABA,43
07/2018,LINEA 205,ESCOLAR,3979
07/2018,LINEA 205,ESCOLAR INICIAL Y PRIMARIO CABA,4
07/2018,LINEA 205,ESCOLAR SECUNDARIO BSAS,2510
07/2018,LINEA 205,NORMAL,212339
07/2018,LINEA 21,ESCOLAR INICIAL Y PRIMARIO CABA,374
07/2018,LINEA 21,ESCOLAR SECUNDARIO BSAS,3064
07/2018,LINEA 21,NORMAL,1636276
07/2018,LINEA 21,ATRIBUTO SOCIAL,643417
07/2018,LINEA 21,ESCOLAR PRIMARIO BSAS,944
07/2018,LINEA 21,ESCOLAR SECUNDARIO CABA,2417
07/2018,LINEA 21,ESCOLAR,6740
07/2018,LINEA 214,ESCOLAR PRIMARIO BSAS,9678
07/2018,LINEA 214,ESCOLAR SECUNDARIO CABA,13
07/2018,LINEA 214,ESCOLAR,17987
07/2018,LINEA 214,ATRIBUTO SOCIAL,169829
07/2018,LINEA 214,ESCOLAR SECUNDARIO BSAS,14431
07/2018,LINEA 214,NORMAL,339157
07/2018,LINEA 215,ESCOLAR PRIMARIO BSAS,3309
07/2018,LINEA 215,ESCOLAR SECUNDARIO CABA,1
07/2018,LINEA 215,ESCOLAR,3678
07/2018,LINEA 215,ATRIBUTO SOCIAL,58898
07/2018,LINEA 215,ESCOLAR SECUNDARIO BSAS,4104
07/2018,LINEA 215,NORMAL,101005
07/2018,LINEA 218,ESCOLAR,2273
07/2018,LINEA 218,ESCOLAR INICIAL Y PRIMARIO CABA,17
07/2018,LINEA 218,ESCOLAR SECUNDARIO BSAS,5754
07/2018,LINEA 218,NORMAL,578099
07/2018,LINEA 218,ATRIBUTO SOCIAL,319135
07/2018,LINEA 218,ESCOLAR PRIMARIO BSAS,2871
07/2018,LINEA 218,ESCOLAR SECUNDARIO CABA,147
07/2018,LINEA 219,ESCOLAR SECUNDARIO BSAS,10986
07/2018,LINEA 219,NORMAL,427565
07/2018,LINEA 219,ATRIBUTO SOCIAL,225274
07/2018,LINEA 219,ESCOLAR PRIMARIO BSAS,3427
07/2018,LINEA 219,ESCOLAR SECUNDARIO CABA,18
07/2018,LINEA 219,ESCOLAR,7778
07/2018,LINEA 219,ESCOLAR INICIAL Y PRIMARIO CABA,17
07/2018,LINEA 22,ATRIBUTO SOCIAL,148089
07/2018,LINEA 22,ESCOLAR PRIMARIO BSAS,799
07/2018,LINEA 22,ESCOLAR SECUNDARIO CABA,1275
07/2018,LINEA 22,ESCOLAR,4879
07/2018,LINEA 22,ESCOLAR INICIAL Y PRIMARIO CABA,141
07/2018,LINEA 22,ESCOLAR SECUNDARIO BSAS,3046
07/2018,LINEA 22,NORMAL,445714
07/2018,LINEA 222,ESCOLAR PRIMARIO BSAS,570
07/2018,LINEA 222,ESCOLAR SECUNDARIO CABA,19
07/2018,LINEA 222,ESCOLAR,742
07/2018,LINEA 222,ATRIBUTO SOCIAL,42826
07/2018,LINEA 222,ESCOLAR SECUNDARIO BSAS,1750
07/2018,LINEA 222,NORMAL,90957
07/2018,LINEA 225,ESCOLAR,658
07/2018,LINEA 225,ESCOLAR PRIMARIO BSAS,397
07/2018,LINEA 225,NORMAL,22313
07/2018,LINEA 225,ATRIBUTO SOCIAL,11141
07/2018,LINEA 225,ESCOLAR SECUNDARIO BSAS,528
07/2018,LINEA 228 B,ESCOLAR INICIAL Y PRIMARIO CABA,3
07/2018,LINEA 228 B,ESCOLAR SECUNDARIO BSAS,1499
07/2018,LINEA 228 B,NORMAL,162390
07/2018,LINEA 228 B,ATRIBUTO SOCIAL,87751
